,Survived,Pclass,Age,SibSp,Parch,Fare,Sex,Cabin,Embarked
0,0,3,22.0,1,0,7.25,1,47,2
1,1,1,38.0,1,0,71.2833,0,81,0
2,1,3,26.0,0,0,7.925,0,47,2
3,1,1,35.0,1,0,53.1,0,55,2
4,0,3,35.0,0,0,8.05,1,47,2
5,0,3,28.25,0,0,8.4583,1,47,1
6,0,1,54.0,0,0,51.8625,1,129,2
7,0,3,2.0,3,1,21.075,1,47,2
8,1,3,27.0,0,2,11.1333,0,47,2
9,1,2,14.0,1,0,30.0708,0,47,0
10,1,3,4.0,1,1,16.7,0,145,2
11,1,1,58.0,0,0,26.55,0,49,2
12,0,3,20.0,0,0,8.05,1,47,2
13,0,3,39.0,1,5,31.275,1,47,2
14,0,3,14.0,0,0,7.8542,0,47,2
15,1,2,55.0,0,0,16.0,0,47,2
16,0,3,2.0,4,1,29.125,1,47,1
17,1,2,28.25,0,0,13.0,1,47,2
18,0,3,31.0,1,0,18.0,0,47,2
19,1,3,28.25,0,0,7.225,0,47,0
20,0,2,35.0,0,0,26.0,1,47,2
21,1,2,34.0,0,0,13.0,1,111,2
22,1,3,15.0,0,0,8.0292,0,47,1
23,1,1,28.0,0,0,35.5,1,13,2
24,0,3,8.0,3,1,21.075,0,47,2
25,1,3,38.0,1,5,31.3875,0,47,2
26,0,3,28.25,0,0,7.225,1,47,0
27,0,1,19.0,3,2,263.0,1,63,2
28,1,3,28.25,0,0,7.8792,0,47,1
29,0,3,28.25,0,0,7.8958,1,47,2
30,0,1,40.0,0,0,27.7208,1,47,0
31,1,1,28.25,1,0,146.5208,0,41,0
32,1,3,28.25,0,0,7.75,0,47,1
33,0,2,66.0,0,0,10.5,1,47,2
34,0,1,28.0,1,0,82.1708,1,47,0
35,0,1,42.0,1,0,52.0,1,47,2
36,1,3,28.25,0,0,7.2292,1,47,0
37,0,3,21.0,0,0,8.05,1,47,2
38,0,3,18.0,2,0,18.0,0,47,2
39,1,3,14.0,1,0,11.2417,0,47,0
40,0,3,40.0,1,0,9.475,0,47,2
41,0,2,27.0,1,0,21.0,0,47,2
42,0,3,28.25,0,0,7.8958,1,47,0
43,1,2,3.0,1,2,41.5792,0,47,0
44,1,3,19.0,0,0,7.8792,0,47,1
45,0,3,28.25,0,0,8.05,1,47,2
46,0,3,28.25,1,0,15.5,1,47,1
47,0,3,28.25,2,0,21.6792,1,47,0
48,0,3,18.0,1,0,17.8,0,47,2
49,0,3,7.0,4,1,39.6875,1,47,2
50,0,3,21.0,0,0,7.8,1,47,2
51,1,1,49.0,1,0,76.7292,0,101,0
52,1,2,29.0,1,0,26.0,0,47,2
53,0,1,65.0,0,1,61.9792,1,23,0
54,1,1,28.25,0,0,35.5,1,71,2
55,1,2,21.0,0,0,10.5,0,47,2
56,0,3,28.5,0,0,7.2292,1,47,0
57,1,2,5.0,1,2,27.75,0,47,2
58,0,3,11.0,5,2,46.9,1,47,2
59,0,3,22.0,0,0,7.2292,1,47,0
60,1,1,38.0,0,0,80.0,0,21,2
61,0,1,45.0,1,0,83.475,1,80,2
62,0,3,4.0,3,2,27.9,1,47,2
63,0,1,28.25,0,0,27.7208,1,47,0
64,1,3,28.25,1,1,15.2458,1,47,0
65,1,2,29.0,0,0,10.5,0,142,2
66,0,3,19.0,0,0,8.1583,1,47,2
67,1,3,17.0,4,2,7.925,0,47,2
68,0,3,26.0,2,0,8.6625,1,47,2
69,0,2,32.0,0,0,10.5,1,47,2
70,0,3,16.0,5,2,46.9,0,47,2
71,0,2,21.0,0,0,73.5,1,47,2
72,0,3,26.0,1,0,14.4542,1,47,0
73,1,3,32.0,0,0,56.4958,1,47,2
74,0,3,25.0,0,0,7.65,1,140,2
75,1,2,0.83,0,2,29.0,1,47,2
76,1,3,30.0,0,0,12.475,0,47,2
77,0,3,22.0,0,0,9.0,1,47,2
78,1,3,29.0,0,0,9.5,1,47,2
79,1,3,28.25,0,0,7.7875,0,47,1
80,0,1,28.0,0,0,47.1,1,47,2
81,1,2,17.0,0,0,10.5,0,47,2
82,1,3,33.0,3,0,15.85,0,47,2
83,0,3,16.0,1,3,34.375,1,47,2
84,1,1,23.0,3,2,263.0,0,63,2
85,0,3,24.0,0,0,8.05,1,47,2
86,0,3,29.0,0,0,8.05,1,47,2
87,0,3,20.0,0,0,7.8542,1,47,2
88,0,1,46.0,1,0,61.175,1,122,2
89,0,3,26.0,1,2,20.575,1,47,2
90,0,3,59.0,0,0,7.25,1,47,2
91,0,1,71.0,0,0,34.6542,1,12,0
92,1,1,23.0,0,1,63.3583,1,91,0
93,1,2,34.0,0,1,23.0,0,47,2
94,0,2,34.0,1,0,26.0,1,47,2
95,0,3,28.0,0,0,7.8958,0,47,2
96,0,1,21.0,0,1,77.2875,1,98,2
97,0,3,33.0,0,0,8.6542,1,47,2
98,0,3,37.0,2,0,7.925,1,47,2
99,0,3,28.0,0,0,7.8958,1,47,2
100,1,3,21.0,0,0,7.65,0,47,2
101,1,3,28.25,0,0,7.775,1,47,2
102,0,3,38.0,0,0,7.8958,1,47,2
103,1,3,28.25,1,0,24.15,0,47,1
